year,DH_GEOGRAPHY_NAME,percent_inhouse_activity,life_expectancy_Female,population_over_80,total_population,total_activity,treatment_year,g,treated,post,rel_year
2003,WIGAN,3.0531123139377536,5.58,10784,303846,47296,NA,0,0,0,NA
2003,WIRRAL,11.568527487467074,6.16,15818,315371,47076,2017,2017,0,0,-14
2003,WOLVERHAMPTON,24.401354981894638,6.43,10620,239851,42805,NA,0,0,0,NA
2003,BUCKINGHAMSHIRE,0.3026689901861873,6.39,NA,NA,43612,2004,2004,0,0,-1
2003,CAMBRIDGESHIRE,1.992689918267745,6.49,NA,NA,93843,NA,0,0,0,NA
2003,DERBYSHIRE,32.92008472296934,6.05,NA,NA,118976,NA,0,0,0,NA
2003,DEVON,19.777024649517568,6.58,NA,NA,161991,NA,0,0,0,NA
2003,DORSET,24.5565749235474,6.62,NA,NA,58860,2017,2017,0,0,-14
2003,DURHAM,25.735751249967166,6.05,20249,493931,114203,2016,2016,0,0,-13
2003,EAST SUSSEX,11.133899492929876,6.66,NA,NA,97028,NA,0,0,0,NA
2003,ESSEX,16.182611015237548,6.34,NA,NA,183691,2020,2020,0,0,-17
2003,GLOUCESTERSHIRE,2.7161871902853147,6.31,NA,NA,84467.14285714281,NA,0,0,0,NA
2003,HAMPSHIRE,31.88673163572521,6.37,NA,NA,145813,NA,0,0,0,NA
2003,HERTFORDSHIRE,0,6.11,NA,NA,131694,2002,2002,1,1,1
2003,KENT,10.804878048780488,6.23,NA,NA,246000,NA,0,0,0,NA
2003,LANCASHIRE,20.79448676431609,6.01,NA,NA,260319,NA,0,0,0,NA
2003,LEICESTERSHIRE,27.155841514200986,6.15,NA,NA,93409,2021,2021,0,0,-18
2003,LINCOLNSHIRE,12.815278374173747,6.38,NA,NA,142057,2013,2013,0,0,-10
2003,NORFOLK,23.533417465295567,6.39,NA,NA,160066,2012,2012,0,0,-9
2003,NORTH YORKSHIRE,45.506519011510555,6.47,NA,NA,91655,NA,0,0,0,NA
2003,NORTHUMBERLAND,17.0146716434458,6.07,13988,309448,81177,NA,0,0,0,NA
2003,NOTTINGHAMSHIRE,22.3738400868887,6.02,NA,NA,137187,2021,2021,0,0,-18
2003,OXFORDSHIRE,0.5952380952380952,6.67,NA,NA,48048,2006,2006,0,0,-3
2003,SHROPSHIRE,4.481400787543225,6.11,14289,286913,50029,2017,2017,0,0,-14
2003,STAFFORDSHIRE,34.534365185403686,6,NA,NA,115262,NA,0,0,0,NA
2003,SUFFOLK,32.76760953965613,6.39,NA,NA,99165,2014,2014,0,0,-11
2003,SURREY,11.776061776061777,6.52,NA,NA,107744,NA,0,0,0,NA
2003,WARWICKSHIRE,25.108793825437225,6.13,NA,NA,60895,2014,2014,0,0,-11
2003,WILTSHIRE,4.369152870903301,6.24,20626,442633,50559,2013,2013,0,0,-10
2003,WORCESTERSHIRE,5.789168838690993,6.09,NA,NA,69060,NA,0,0,0,NA
2003,BATH AND NORTH EAST SOMERSET,45.96026490066225,6.25,8939,170361,19630,NA,0,0,0,NA
2003,BLACKBURN WITH DARWEN,24.768029849280772,5.74,4854,140429,40738,2016,2016,0,0,-13
2003,BLACKPOOL,9.089753638231619,6,7778,142658,47207,2015,2015,0,0,-12
