"","URN","Provider type","Ofsted Region","Government Office Region","Local authority","Sector","Places","Date","leave_join"
"564","SC488930","Children's home","East Midlands","East Midlands","Leicester","Private",6,2015-07-28,"Join"
"565","SC488943","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2015-07-22,"Join"
"566","SC488961","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",5,2016-03-18,"Join"
"567","SC489036","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-09-03,"Join"
"568","SC489038","Children's home","North West","North West","Lancashire","Private",8,2015-06-19,"Join"
"569","SC489187","Children's home","North East, Yorkshire and the Humber","North East","Redcar and Cleveland","Private",5,2015-10-08,"Join"
"570","SC489212","Residential special school (registered as a children's home)","South East","South East","Oxfordshire","Private",12,2015-07-07,"Join"
"571","SC489223","Children's home","South West","South West","Somerset","Private",2,2016-01-29,"Join"
"572","SC489226","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Private",5,2015-12-30,"Join"
"573","SC489400","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",4,2015-08-14,"Join"
"574","SC489414","Children's home","South East","South East","Kent","Private",4,2015-04-30,"Join"
"575","SC489416","Children's home","North West","North West","Lancashire","Private",4,2015-08-12,"Join"
"576","SC489512","Children's home","South East","South East","Hampshire","Private",4,2015-08-21,"Join"
"577","SC489516","Children's home","East Midlands","East Midlands","West Northamptonshire","Private",2,2015-05-27,"Join"
"578","SC489547","Children's home","East of England","East of England","Norfolk","Private",3,2015-11-16,"Join"
"579","SC489610","Children's home","East Midlands","East Midlands","Derbyshire","Private",3,2015-05-29,"Join"
"580","SC489640","Children's home","South West","South West","Devon","Voluntary",3,2015-07-27,"Join"
"581","SC489820","Children's home","South West","South West","Dorset","Private",4,2015-10-09,"Join"
"582","SC489970","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-07-28,"Join"
"583","SC490025","Children's home","South East","South East","Slough","Private",4,2015-07-10,"Join"
"584","SC490136","Children's home","London","London","Richmond upon Thames","Private",2,2015-07-02,"Join"
"585","SC490364","Children's home","East Midlands","East Midlands","Derbyshire","Private",4,2015-10-09,"Join"
"586","SC490365","Children's home","London","London","Hackney","Private",8,2015-05-05,"Join"
"587","SC486399","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2015-08-13,"Join"
"588","1159807","Children's home","North West","North West","Lancashire","Private",5,2015-09-08,"Join"
"589","1156094","Children's home","North West","North West","St Helens","Private",10,2015-07-27,"Join"
"590","1225631","Children's home","North West","North West","Lancashire","Private",5,2015-12-07,"Join"
"591","SC476256","Children's home","West Midlands","West Midlands","Staffordshire","Private",5,2015-04-13,"Join"
"592","SC480107","Children's home","East of England","East of England","Cambridgeshire","Private",3,2015-07-08,"Join"
"593","1182965","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2015-10-26,"Join"
"594","SC006879","Children's home","London","London","Greenwich","Private",2,2015-04-15,"Leave"
"595","SC008132","Children's home","South West","South West","North Somerset","Voluntary",4,2016-03-03,"Leave"
"596","SC008342","Children's home","North West","North West","Salford","Private",5,2015-10-26,"Leave"
"597","SC009121","Children's home","South West","South West","Cornwall","Voluntary",3,2015-09-16,"Leave"
"598","SC009390","Children's home","North West","North West","Bolton","Voluntary",4,2015-11-01,"Leave"
"599","SC017611","Children's home","South East","South East","Surrey","Private",24,2015-10-08,"Leave"
"600","SC020563","Children's home","West Midlands","West Midlands","Telford and Wrekin","Voluntary",5,2016-03-31,"Leave"
"601","SC022212","Residential special school (registered as a children's home)","South West","South West","Devon","Private",48,2015-09-16,"Leave"
"602","SC023735","Children's home","South East","South East","Kent","Private",2,2015-06-29,"Leave"
"603","SC024092","Children's home","South East","South East","Kent","Private",2,2015-06-24,"Leave"
"604","SC026990","Children's home","North West","North West","Warrington","Private",3,2015-11-09,"Leave"
"605","SC030369","Children's home","South West","South West","Somerset","Local Authority",2,2016-02-05,"Leave"
"606","SC031537","Children's home","South East","South East","Slough","Local Authority",6,2015-09-30,"Leave"
"607","SC032531","Children's home","North West","North West","Rochdale","Local Authority",1,2016-02-01,"Leave"
"608","SC033371","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Leeds","Local Authority",12,2015-09-04,"Leave"
"609","SC033587","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Rotherham","Local Authority",6,2016-01-31,"Leave"
"610","SC034205","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Local Authority",3,2015-04-07,"Leave"
"611","SC034938","Children's home","East of England","East of England","Cambridgeshire","Local Authority",4,2016-01-27,"Leave"
"612","SC035239","Children's home","North East, Yorkshire and the Humber","North East","Durham","Local Authority",4,2015-08-31,"Leave"
"613","SC035383","Children's home","North East, Yorkshire and the Humber","North East","Northumberland","Local Authority",3,2015-06-29,"Leave"
"614","SC035454","Children's home","North West","North West","Lancashire","Local Authority",4,2016-01-15,"Leave"
"615","SC035780","Children's home","East Midlands","East Midlands","Derbyshire","Local Authority",7,2015-08-03,"Leave"
"616","SC036758","Children's home","West Midlands","West Midlands","Shropshire","Local Authority",4,2015-04-14,"Leave"
"617","SC038827","Children's home","South East","South East","Hampshire","Local Authority",6,2015-10-10,"Leave"
"618","SC039100","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kingston upon Hull","Local Authority",4,2016-02-12,"Leave"
"619","SC039134","Children's home","North West","North West","Lancashire","Local Authority",4,2015-11-11,"Leave"
"620","SC039183","Children's home","North West","North West","Lancashire","Local Authority",4,2016-02-29,"Leave"
"621","SC039216","Children's home","South East","South East","Hampshire","Local Authority",7,2015-09-01,"Leave"
"622","SC039243","Children's home","North West","North West","Lancashire","Local Authority",8,2016-02-29,"Leave"
"623","SC039274","Children's home","South West","South West","Somerset","Private",2,2016-03-22,"Leave"
"624","SC039680","Children's home","North West","North West","Lancashire","Local Authority",10,2015-12-31,"Leave"
"625","SC040749","Residential special school (registered as a children's home)","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Voluntary",23,2016-01-11,"Leave"
"626","SC044026","Children's home","North West","North West","Tameside","Voluntary",5,2015-06-01,"Leave"
"627","SC049430","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-02-03,"Leave"
"628","SC050173","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-01-08,"Leave"
"629","SC050766","Children's home","North West","North West","Lancashire","Private",5,2015-10-19,"Leave"
"630","SC053669","Children's home","East Midlands","East Midlands","Leicester","Private",6,2015-07-28,"Leave"
"631","SC056128","Children's home","East Midlands","East Midlands","Leicestershire","Private",2,2016-03-04,"Leave"
"632","SC059639","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Bradford","Local Authority",8,2015-04-01,"Leave"
"633","SC060759","Children's home","London","London","Lewisham","Voluntary",6,2015-12-17,"Leave"
"634","SC061062","Children's home","North West","North West","Wirral","Private",3,2015-09-29,"Leave"
"635","SC061368","Children's home","North West","North West","St Helens","Private",4,2015-08-25,"Leave"
"636","SC061485","Children's home","East of England","East of England","Peterborough","Private",3,2015-05-01,"Leave"
"637","SC061928","Residential special school (registered as a children's home)","North West","North West","Manchester","Private",8,2016-03-21,"Leave"
"638","SC062877","Children's home","South West","South West","Somerset","Private",2,2015-06-30,"Leave"
"639","SC062937","Children's home","North West","North West","Sefton","Local Authority",4,2015-09-23,"Leave"
"640","SC064412","Children's home","South East","South East","Slough","Private",6,2016-01-18,"Leave"
"641","SC064515","Children's home","North West","North West","Oldham","Local Authority",4,2016-03-31,"Leave"
"642","SC065486","Children's home","South East","South East","Slough","Local Authority",7,2015-09-30,"Leave"
"643","SC065515","Children's home","North East, Yorkshire and the Humber","North East","Northumberland","Private",4,2015-10-02,"Leave"
"644","SC065541","Children's home","East of England","East of England","Norfolk","Private",4,2015-11-15,"Leave"
"645","SC066293","Children's home","London","London","Brent","Voluntary",4,2015-04-14,"Leave"
"646","SC067218","Children's home","South West","South West","Somerset","Private",2,2015-09-01,"Leave"
"647","SC067261","Children's home","North West","North West","Blackburn with Darwen","Private",4,2015-06-01,"Leave"
"648","SC068181","Children's home","East of England","East of England","Essex","Private",2,2016-01-22,"Leave"
"649","SC068645","Children's home","South West","South West","Wiltshire","Private",5,2016-03-31,"Leave"
"650","SC068658","Children's home","North West","North West","Bury","Private",6,2016-03-14,"Leave"
"651","SC355902","Children's home","South East","South East","West Sussex","Private",6,2016-03-24,"Leave"
"652","SC358206","Children's home","South West","South West","Somerset","Local Authority",3,2016-03-21,"Leave"
"653","SC358654","Children's home","West Midlands","West Midlands","Stoke-on-Trent","Private",2,2015-05-31,"Leave"
"654","SC363385","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",4,2015-07-06,"Leave"
"655","SC363933","Residential special school (registered as a children's home)","East Midlands","East Midlands","North Northamptonshire","Private",6,2015-12-08,"Leave"
"656","SC367456","Children's home","East Midlands","East Midlands","Lincolnshire","Private",5,2015-07-22,"Leave"
"657","SC367465","Children's home","East Midlands","East Midlands","Lincolnshire","Private",3,2015-07-22,"Leave"
"658","SC369178","Children's home","London","London","Waltham Forest","Private",6,2016-03-01,"Leave"
"659","SC375540","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Rotherham","Local Authority",6,2015-10-13,"Leave"
"660","SC377517","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",5,2016-03-21,"Leave"
"661","SC379659","Children's home","North West","North West","Liverpool","Local Authority",5,2016-02-04,"Leave"
"662","SC383317","Children's home","West Midlands","West Midlands","Stoke-on-Trent","Private",2,2015-09-16,"Leave"
"663","SC384198","Children's home","West Midlands","West Midlands","Wolverhampton","Private",4,2016-02-04,"Leave"
"664","SC386936","Children's home","North West","North West","Salford","Private",6,2015-12-09,"Leave"
"665","SC396056","Children's home","South West","South West","Somerset","Private",1,2015-11-24,"Leave"
"666","SC398381","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",4,2015-08-18,"Leave"
