"","Organisation","Organisation_fame_search","Company.name","Registered.number"
"261","St. Christophers Fellowship","St. Christophers Fellowship","ST.CHRISTOPHERS FELLOWSHIP","00321509"
"262","Rubicon Children's Homes Limited","RUBICON CHILDREN & FAMILY SERVICES LIMITED","RUBICON CHILDREN & FAMILY SERVICES LIMITED","06832465"
"263","Castlecare Cymru Limited","Castlecare Cymru Limited","CASTLECARE CYMRU LIMITED","04766939"
"264","Thunderbolt Mobile Limited","Thunderbolt Mobile Limited","THUNDERBOLT MOBILE LIMITED","04805498"
"265","Bridge Communities Limited","Bridge Communities Limited","BRIDGE COMMUNITIES LIMITED","02643384"
"266","Aspire Child Care Ltd","Aspire Child Care Ltd","ASPIRE CHILD CARE LTD","06984654"
"267","Appletree Treatment Centre Limited","Appletree Treatment Centre Limited","APPLETREE TREATMENT CENTRE LIMITED","03838620"
"268","Rowden House School Limited","Rowden House School Limited","ROWDEN HOUSE SCHOOL LIMITED","01955565"
"269","Mangrove Care Limited","Mangrove Care Limited","MANGROVE CARE LTD","05582031"
"270","CareTech Community Services Limited","CareTech Community Services Limited","CARETECH COMMUNITY SERVICES LIMITED","02804415"
"271","Lodge Group Care UK Limited","Lodge Group Care UK Limited","LODGE GROUP CARE UK LIMITED","06276055"
"272","Independent Living Services (North West) Limited","Independent Living Services (North West) Limited","INDEPENDENT LIVING SERVICES (NORTH WEST) LIMITED","05575883"
"273","Our Place (2008) Ltd","Our Place (2008) Ltd","OUR PLACE (2008) LIMITED","06830029"
"274","Kisimul Group Limited","Kisimul Group Limited","KISIMUL GROUP LIMITED","03630117"
"275","Area Camden Ltd","Area Camden Ltd","AREA CAMDEN LIMITED","08279863"
"276","Constant Child Care Ltd","Constant Child Care Ltd","NEXT STEPS AFTERCARE LIMITED","06076840"
"277","Park Lane Residential Home Limited","Park Lane Residential Home Limited","PARK LANE RESIDENTIAL HOME LIMITED","06891393"
"278","Supporting Futures Limited","Supporting Futures Limited","SUPPORTING FUTURES LIMITED","05580083"
"279","Maple Leaf Care Limited","Maple Leaf Care Limited","MAPLE LEAF CARE LIMITED","05951541"
"280","Willows (Devon) Limited","Willows (Devon) Limited","WILLOWS (DEVON) LIMITED","05282967"
"281","Owned by an individual","Owned by an individual",NA,NA
"282","MIG House Residential Care Home Limited","MIG House Residential Care Home Limited","MIG HOUSE RESIDENTIAL CARE HOME LIMITED","03780971"
"283","Westgate Lifestyle Project Limited","Westgate Lifestyle Project Limited","WESTGATE LIFESTYLE PROJECT LIMITED","06493150"
"284","Step-a-Side Company Limited","Step-a-Side Company Limited","STEP-A-SIDE COMPANY LIMITED","03701944"
"285","Safehaven Residential and Respite Care Limited","Safehaven Residential and Respite Care Limited","SAFEHAVEN RESIDENTIAL AND RESPITE CARE LIMITED","04583257"
"286","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD","04922373"
"287","Norwood Ravenswood","Norwood Ravenswood","NORWOOD RAVENSWOOD","03263519"
"288","Harmony Childrens Services","Harmony Childrens Services","HARMONY CHILDREN'S SERVICES LIMITED","07350725"
"289","Satash Community Care Project Limited","Satash Community Care Project Limited","SATASH COMMUNITY CARE PROJECT LIMITED","05370263"
"290","Kisimul Group Ltd","Kisimul Group Ltd","KISIMUL GROUP LIMITED","03630117"
"291","Cruckton Hall Limited","Cruckton Hall Limited","CRUCKTON HALL LIMITED","06952821"
"292","Catholic Care (Diocese of Leeds)","Catholic Care (Diocese of Leeds)","CATHOLIC CARE (DIOCESE OF LEEDS)","01633737"
"293","The SENAD Group Limited","The SENAD Group Limited","THE SENAD GROUP LIMITED","04613709"
"294","Progressive Futures Care Limited","Progressive Futures Care Limited","PROGRESSIVE FUTURES CARE LIMITED","05114693"
"295","Amelia's House Limited","Amelias House Limited","AMELIA HOUSE LIMITED","12050213"
"296","Stanfield Care Services Limited","Stanfield Care Services Limited","STANFIELD CARE SERVICES LIMITED","08006638"
"297","Benjamin Uk Ltd","Benjamin Uk Ltd","BENJAMIN UK LTD","04938472"
"298","PJL Healthcare Limited","PJL Healthcare Limited","PJL HEALTHCARE LIMITED","05818961"
"299","Horizon Care And Education Group Limited","Horizon Care And Education Group Limited","HORIZON CARE AND EDUCATION GROUP LIMITED","06454959"
"300","Teen-Works Care Limited","Teen-Works Care Limited","TEEN-WORKS CARE LIMITED","06889613"
"301","Care Assist Children's Services Limited","Care Assist childrens Services Limited","CARE ASSIST CHILDRENS SERVICES LTD","03713959"
"302","White Orchid Care Limited","White Orchid Care Limited","WHITE ORCHID CARE LIMITED","08233142"
"303","Cherry Trees Limited","Cherry Trees Limited","CHERRY TREES","02241223"
"304","Creating Care Choices Limited","Creating Care Choices Limited","CREATING CARE CHOICES LIMITED","04077663"
"305","Lynstead Childrens Services Ltd","Lynstead Childrens Services Ltd","LYNSTEAD CHILDRENS SERVICES LTD","07055428"
"306","Ruskin Mill Trust Limited","Ruskin Mill Trust Limited","RUSKIN MILL TRUST LIMITED","07252866"
"307","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","02978546"
"308","Chances CCFSS Limited","Chances CCFSS Limited","CHANCES CCFSS LIMITED","07280215"
"309","Acorn Children's Home (Burton) Ltd","Acorn childrens Home (Burton) Ltd","ACORN CHILDREN'S HOME (BURTON) LTD","08385679"
"310","Royal Mencap Society","Royal Mencap Society","ROYAL MENCAP SOCIETY","00550457"
"311","Choices 4 Children Ltd","Choices 4 Children Ltd","CHOICES 4 CHILDREN LTD","05375169"
"312","Ingleside Children's Home Limited","Ingleside childrens Home Limited","INGLESIDE CHILDREN'S HOME LTD","03923423"
"313","St Hill Establishments Ltd","St Hill Establishments Ltd","ST HILL ESTABLISHMENTS LTD","06402626"
"314","Flying Spur Limited","Flying Spur Limited","FLYING SPUR LIMITED","08005256"
"315","Northern Life Care Limited T/A UBU","Northern Life Care Limited","NORTHERN LIFE CARE LIMITED","01867042"
"316","The Senad Group Limited","The Senad Group Limited","THE SENAD GROUP LIMITED","04613709"
"317","Active 8 Care Ltd","Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED","05107898"
"318","Aston Children's Care Ltd","Aston childrens Care Ltd","ASTON CHILDREN'S CARE LTD","07794603"
"319","New Start","New Start","NEW START HIGHLAND","SC213206"
"320","Child First Limited","Child First Limited","CHILD FIRST LIMITED","04018123"
"321","Hesley Services Limited","Hesley Services Limited","HESLEY SERVICES LIMITED","02037104"
"322","Heartwood Residential Services Ltd","Heartwood Residential Services Ltd","HEARTWOOD RESIDENTIAL SERVICES LTD","07122916"
"323","National Autistic Society","National Autistic Society","NATIONAL AUTISTIC SOCIETY(THE)","01205298"
"324","Footsteps Care Homes Limited","Footsteps Care Homes Limited","FOOTSTEPS CARE HOMES LIMITED","04829485"
"325","Duty of Care Limited","Duty of Care Limited","DUTY OF CARE LIMITED","06697401"
"326","Diverse Abilities Plus Ltd.","Diverse Abilities Plus Ltd.","DIVERSE ABILITIES PLUS LTD","01540805"
"327","The St Christopher School","The St Christopher School","SEN TRUST SOUTHEND","07973980"
"328","Country Care Childrens Homes Limited","Country Care Childrens Homes Limited","COUNTRY CARE CHILDRENS HOMES LTD","04143257"
"329","Essandore Limited","Essandore Limited","ESSANDORE LIMITED","03443076"
"330","Anna House Limited","Anna House Limited","ANNA HOUSE LIMITED","04320852"
"331","Cherry Cottage Limited","Cherry Cottage Limited","CHERRY COTTAGE LIMITED","05864035"
"332","Rushcliffe Specialist Schools (Mickleover) Ltd","Rushcliffe Specialist Schools (Mickleover) Ltd","RUSHCLIFFE SPECIALIST SCHOOLS (MICKLEOVER) LIMITED","06911368"
"333","Chartwell Care Services Ltd","Chartwell Care Services Ltd","CHARTWELL CARE SERVICES LIMITED","08554461"
"334","Options Autism (5) Limited","Options Autism (5) Limited","OPTIONS AUTISM (5) LIMITED","05697730"
"335","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD","15399498"
"336","John-Edwards Care Homes Ltd","John-Edwards Care Homes Ltd","JOHN-EDWARDS CARE HOMES LTD","07578190"
"337","Carehome Limited","Carehome Limited","ANCHOR CAREHOMES LIMITED","04598002"
"338","Ownlife Limited 02932099","Ownlife Limited","OWNLIFE LIMITED","02932099"
"339","PCT Care Services Limited","PCT Care Services Limited","PCT CARE SERVICES LIMITED","07160290"
"340","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","03431532"
"341","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD","07252721"
"342","Continuum Support - Care Services Ltd","Continuum Support - Care Services Ltd","CONTINUUM SUPPORT - CARE SERVICES LTD","08517549"
"343","Jamores Limited","Jamores Limited","JAMORES LIMITED","06939600"
"344","After Care (N W) Limited","After Care (N W) Limited","AFTER CARE (N W) LIMITED","04256197"
"345","R Place Limited","R Place Limited","R PLACE LIMITED","07496321"
"346","Kites Children Service's Ltd","Kites Children Services Ltd","KITES CHILDRENS SERVICES LIMITED","04106334"
"347","Autism Initiatives (UK)","Autism Initiatives (UK)","AUTISM INITIATIVES (UK)","02436777"
"348","Hamelin Trust","Hamelin Trust","HAMELIN TRUST","02650043"
"349","Lytham Care Limited","Lytham Care Limited","LYTHAM CARE LIMITED","07744717"
"350","Branas Isaf (holdings) Limited","Branas Isaf (holdings) Limited","BRANAS ISAF (HOLDINGS) LIMITED","04827227"
"351","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED","04211653"
"352","Praxis Care","Praxis Care","PRAXIS CARE","IE908491"
"353","Chailey Heritage Foundation","Chailey Heritage Foundation","CHAILEY HERITAGE FOUNDATION","03769775"
"354","Greenacre Care Services Limited","Greenacre Care Services Limited","GREENACRE CARE SERVICES LIMITED","06471130"
"355","The Place Young Peoples Company","The Place Young Peoples Company","THE PLACE YOUNG PEOPLES COMPANY LIMITED","08453467"
"356","White Lodge Centre","White Lodge Centre","WHITE LODGE CENTRE","01592351"
"357","What's Out There Limited","Whats Out There Limited","WHAT'S OUT THERE LIMITED","08353941"
"358","Tulip Care Two Limited","Tulip Care Two Limited","TULIP CARE TWO LIMITED","06627219"
"359","The Chiltern Centre for Disabled Children Limited","The Chiltern Centre for Disabled Children Limited","THE CHILTERN CENTRE LIMITED","04843950"
"360","Broadlands Hall Ltd","Broadlands Hall Ltd","BROADLANDS HALL LIMITED","04585212"
"361","Oakfields Children's Care Limited","Oakfields childrens Care Limited","OAKFIELDS CHILDREN'S CARE LIMITED","05425280"
"362","Back on Track Children's Services SE Ltd","Back on Track childrens Services SE Ltd","BACK ON TRACK CHILDREN'S SERVICES SE LTD","07457005"
"363","Quality Time Care Ltd","Quality Time Care Ltd","KEYS QTC LIMITED","03363263"
"364","Albrighton Care Ltd","Albrighton Care Ltd","ALBRIGHTON CARE LIMITED","08478226"
"365","Positive Steps (Care Services) Limited","Positive Steps (Care Services) Limited","POSITIVE STEPS (CARE SERVICES) LIMITED","05013519"
"366","Young Alliance Limited","Young Alliance Limited","YOUNG ALLIANCE LIMITED","06472326"
"367","Young Foundations Limited","Young Foundations Limited","YOUNG FOUNDATIONS LIMITED","05029887"
"368","Living Life (UK) Limited","Living Life (UK) Limited","LIVING LIFE (UK) LIMITED","05455598"
"369","Kedleston (Wings Education) Limited","Kedleston (Wings Education) Limited","KEDLESTON (WINGS EDUCATION) LIMITED","04627039"
"370","Kids","Kids","KIDS PLANET DAY NURSERIES LIMITED","06596787"
"371","Oasis Young People's Care Services (uk) Ltd","OASIS CARE SERVICES LIMITED","OASIS CARE SERVICES LIMITED","03865269"
"372","Adecyn Children's Home Ltd","Adecyn childrens Home Ltd","ADECYN CHILDREN'S HOME LTD","07337736"
"373","Tumblewood Project Ltd","Tumblewood Project Ltd","WITHERSLACK WILTSHIRE LIMITED","03848120"
"374","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD","03762420"
"375","The Roman Catholic Dioscese of Arundel and Brighton","The Roman Catholic Dioscese of Arundel and Brighton",NA,NA
"376","The Cuckfield Care Consultancy Limited","The Cuckfield Care Consultancy Limited","THE CUCKFIELD CARE CONSULTANCY LIMITED","04593747"
"377","Building Bridges Care Homes Ltd","Building Bridges Care Homes Ltd","BUILDING BRIDGES (CARE HOMES) LIMITED","05257079"
"378","Nurture Childcare Services Ltd","Nurture Childcare Services Ltd","NURTURE CHILDCARE SERVICES LTD","08221607"
"379","Oak House Childrens Homes Ltd","Oak House Childrens Homes Ltd","OAK HOUSE CHILDRENS HOME LTD","08521419"
"380","Eagle Children's Home","Eagle childrens Home","EAGLE CHILDRENS HOME LIMITED","06867072"
"381","The Sheiling Special Education Trust","The Sheiling Special Education Trust","THE SHEILING SPECIAL EDUCATION TRUST","08116370"
"382","2nd Nurture Ltd","2nd Nurture Ltd","2ND NURTURE LIMITED","08562272"
"383","Talbot House School Newcastle Upon Tyne","Talbot House School Newcastle Upon Tyne","TALBOT HOUSE CHILDREN'S CHARITY LIMITED","03069213"
"384","CASC (Barrow) Limited","CASC (Barrow) Limited","CASC (BARROW) LIMITED","07575791"
"385","Langley House (Harwich) Limited","Langley House (Harwich) Limited","LANGLEY HOUSE (HARWICH) LIMITED","06009402"
"386","Crusoe Care Limited 06843979","Crusoe Care Limited","CRUSOE CARE LIMITED","06843979"
"387","Inspirations Leicestershire Limited comp number 07765916","Inspirations Leicestershire Limited","INSPIRATIONS LEICESTERSHIRE LIMITED","07765916"
"388","Livability","Livability","LIVABILITY","CHA1116530"
"389","Island Choices Ltd","Island Choices Ltd","ISLAND CHOICES LTD","06720110"
"390","Silverlining Childcare","Silverlining Childcare","STRENGTHENING SUPPORT SERVICES LTD","07798156"
"391","Social Care Services Limited","Social Care Services Limited","SOCIAL CARE SERVICES LIMITED","02428089"
"392","Laurel Leaf Homes Ltd","Laurel Leaf Homes Ltd","LAUREL LEAF HOMES LTD","05031612"
"393","J & R Care Limited","J & R Care Limited","J & R CARE LIMITED","04556511"
"394","Arronbeth Ltd","Arronbeth Ltd","ARRONBETH LTD","04009561"
"395","Able Health Care Limited","Able Health Care Limited","CANE & ABLE HEALTH CARE LIMITED","03735094"
"396","Causeway Care Homes Ltd","Causeway Care Homes Ltd","CAUSEWAY CARE HOMES LTD","04737521"
"397","Tulip Care One Limited t/as TulipCare","Tulip Care One Limited","TULIP CARE ONE LIMITED","05903027"
"398","The Rose Road Association","The Rose Road Association","THE ROSE ROAD ASSOCIATION","01366534"
"399","Adeza Care Homes Limited","Adeza Care Homes Limited","ADEZA CARE HOMES LIMITED","03342479"
"400","A Significant Other Limited","A Significant Other Limited","A SIGNIFICANT OTHER LIMITED","07467346"
"401","Care 4 Children Residential Services Ltd","Care 4 Children Residential Services Ltd","YOUR CHAPTER LIMITED","09097182"
"402","Absolute Children's Services Ltd","Absolute childrens Services Ltd","ABSOLUTE CHILDRENS SERVICES LTD","08888201"
"403","Beacon Child Care Ltd","BEACON CHILDCARE LTD","BEACON CHILDCARE LTD","09137138"
"404","Pathway Care Solutions Group Limited","Pathway Care Solutions Group Limited","PATHWAY CARE SOLUTIONS GROUP LIMITED","04214622"
"405","The Daughters of the Cross of Liege","The Daughters of the Cross of Liege","THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE","03492921"
"406","Aurora Care Young Peoples Services","Aurora Care Young Peoples Services","AURORA CARE YOUNG PEOPLE'S SERVICES LIMITED","09150152"
"407","Footsteps To Futures Ltd","Footsteps To Futures Ltd","FOOTSTEPS TO FUTURES LIMITED","08950196"
"408","My Life-My Choice Limited","My Life-My Choice Limited","MY LIFE CHOICE LTD","11188401"
"409","Clouds Children's Care Limited","Clouds childrens Care Limited","CLOUDS CHILDRENS CARE LIMITED","08864886"
"410","Exeter Royal Academy For Deaf Education","Exeter Royal Academy For Deaf Education","EXETER ROYAL ACADEMY FOR DEAF EDUCATION.","06585703"
"411","Barford Children's Services Limited","Barford childrens Services Limited","BARFORD CHILDREN'S SERVICES LIMITED","07594977"
"412","Footsteps Care Limited","Footsteps Care Limited","FOOTSTEPS CARE LIMITED","05620949"
"413","Kartikeya Solutions Limited","Kartikeya Solutions Limited","KARTIKEYA SOLUTIONS LIMITED","05603295"
"414","Platform Childcare Ltd","Platform Childcare Ltd","PLATFORM CHILDCARE LTD","08124267"
"415","Inmind Childrens Services Limited","Inmind Childrens Services Limited","INMIND CHILDREN'S SERVICES LIMITED","04342382"
"416","RNIB Charity","RNIB Charity","RNIB CHARITY","CHASC044876"
"417","South West Childcare Services Ltd","South West Childcare Services Ltd","SOUTH WEST CHILDCARE SERVICES LTD","09045817"
"418","Approach-Development (NE) Ltd","Approach-Development (NE) Ltd","APPROACH-DEVELOPMENT (NE) LTD.","09004258"
"419","Family Child Care Ltd","Family Child Care Ltd","HAPPY FAMILIES CHILD CARE LIMITED","03817658"
"420","Kedleston (High Peak School) Limited","Kedleston (High Peak School) Limited","KEDLESTON (HIGH PEAK SCHOOL) LIMITED","08871805"
"421","Park Blue Homes Limited","Park Blue Homes Limited","PARK BLUE HOMES LIMITED","05548677"
"422","Serenity Care Homes Ltd","Serenity Care Homes Ltd","SERENITY CARE HOMES LTD","08247615"
"423","MacIntyre Academies","MacIntyre Academies","MACINTYRE ACADEMIES","08334745"
"424","Kattz Ltd","Kattz (ah) Ltd","KATTZ (AH) LTD","08386904"
"425","Positive Outcomes Childcare Ltd","Positive Outcomes Childcare Ltd","POSITIVE OUTCOMES CHILDCARE LIMITED","08327863"
"426","North East Specialist Therapeutic Services CIC","North East Specialist Therapeutic Services CIC","NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC","08235190"
"427","Safe Base Care Limited","Safe Base Care Limited","SAFE BASE CARE LIMITED","08114203"
"428","Hennessy Living Group Ltd","Hennessy Living Group Ltd","HENNESSY LIVING GROUP LIMITED","08774156"
"429","White Orchid Marston Moretaine Limited","White Orchid Marston Moretaine Limited","WHITE ORCHID MARSTON MORETAINE LIMITED","09149213"
"430","Cambian Asperger Syndrome Services Limited","Cambian Asperger Syndrome Services Limited","CAMBIAN ASPERGER SYNDROME SERVICES LIMITED","04117476"
"431","Exceptional Care Ltd","Exceptional Care Ltd","EXCEPTIONAL CARE LIMITED","05555624"
"432","Life Change Care Limited","Life Change Care Limited","LIFE CHANGE CARE LTD","09119328"
"433","Carbrey Care Ltd","Carbrey Care Ltd","CARBREY CARE LTD","09080800"
"434","Holistic Approach Ltd","Holistic Approach Ltd","HOLISTIC APPROACH LTD","09365310"
"435","Icare Children's Services Ltd","Icare childrens Services Ltd","ICARE CHILDRENS SERVICES LIMITED","09316253"
"436","Tlc Youth Care Limited","Tlc Youth Care Limited","TLC YOUTH CARE LIMITED","09597980"
"437","Slough Children's Services Trust Limited (09487106)","SLOUGH CHILDREN FIRST LIMITED ()","SLOUGH CHILDREN FIRST LIMITED","09487106"
"438","Lonsdale Care Ltd","Lonsdale Care Ltd","LONSDALE CARE LTD","09124180"
"439","Devon & Cornwall Autistic Community Trust (t/a Spectrum)","Devon & Cornwall Autistic Community Trust","DEVON & CORNWALL AUTISTIC COMMUNITY TRUST","01662611"
"440","A&t Home Ltd","A&t Home Ltd","A & T HOMES LIMITED","05299075"
"441","Quality Care Homes (uk) Limited","Quality Care Homes (uk) Limited","QUALITY CARE HOMES (UK) LIMITED","05328103"
"442","Sunderland Care And Support Limited","Sunderland Care And Support Limited","SUNDERLAND CARE AND SUPPORT LIMITED","08681649"
"443","Kennet Care Limited","Kennet Care Limited","KENNET CARE LIMITED","07620762"
"444","South West Mental Health Ltd","South West Mental Health Ltd","1848 LTD","08658542"
"445","Next Stage 4 Life","Next Stage 4 Life","NEXT STAGE 4 LIFE LTD","08256389"
"446","River Valley Care Ltd","River Valley Care Ltd","RIVER VALLEY CARE LIMITED","08854391"
"447","Headway House Limited","Headway House Limited","HEADWAY HOUSE LIMITED","09490097"
"448","Resolute Care Ltd","Resolute Care Ltd","RESOLUTE CARE LTD","09332138"
"449","Hygge Care Limited","Hygge Care Limited","HYGGE CARE LTD","09584774"
"450","Potensial Ltd","Potensial Ltd","POTENSIAL LIMITED","05846789"
"451","Broadwood Residential Ltd","Broadwood Residential Ltd","KEYS BR LIMITED","03815473"
"452","Kingdom Care Childrens Homes Ltd","Kingdom Care Childrens Homes Ltd","KEYS KIN LIMITED","09615208"
"453","Harmony Residential Homes Ltd","Harmony Residential Homes Ltd","HARMONY RESIDENTIAL HOMES LTD","09175648"
"454","Thornleigh Camphill Communities Ltd","Thornleigh Camphill Communities Ltd","THORNLEIGH CAMPHILL COMMUNITIES LIMITED","CHA307104"
"455","Solent Child Care Ltd","Solent Child Care Ltd","SOLENT CHILD CARE LIMITED","09759708"
"456","Phoenix Care And Education Ltd","Phoenix Care And Education Ltd","PHOENIX CARE & EDUCATION LTD","09545276"
"457","Personal Security Service Ltd","Personal Security Service Ltd","PERSONAL SECURITY SERVICE LTD","04231913"
"458","Aurora Care and Education Opco Limited","Aurora Care and Education Opco Limited","AURORA CARE AND EDUCATION OPCO LIMITED","09768784"
"459","Sherlock Healthcare Services Ltd","Sherlock Healthcare Services Ltd","SHERLOCK HEALTHCARE SERVICES LTD","09756420"
"460","In Safe Hands Care Ltd","In Safe Hands Care Ltd","IN SAFE HANDS CARE LTD","07527212"
"461","G.V Kids Ltd","G.V Kids Ltd","G.V KIDS LTD","09840595"
"462","Friends Together Care Homes Ltd","Friends Together Care Homes Ltd","FRIENDS TOGETHER CARE HOMES LTD","09484503"
"463","The Percy Hedley Foundation","The Percy Hedley Foundation","THE PERCY HEDLEY FOUNDATION","01855026"
"464","Children Of The Mangrove Limited","Children Of The Mangrove Limited","CHILDREN OF THE MANGROVE LIMITED","09468785"
"465","Priory Education Services Limited","Priory Education Services Limited","ASPRIS CHILDREN'S SERVICES LIMITED","06244880"
"466","Happy Group (UK) Limited","Happy Group (UK) Limited","HAPPY GROUP (UK) LIMITED","09633107"
"467","Care 4 Children","Care 4 Children","YOUR CHAPTER HOLDINGS LIMITED","10082417"
"468","Care 4 Children Holdco Limited","Care 4 Children Holdco Limited","YOUR CHAPTER HOLDINGS LIMITED","10082417"
"469","Treehouse Educare Limited","Treehouse Educare Limited","TREEHOUSE EDUCARE LIMITED","09973494"
"470","Future Focused Ltd","Future Focused Ltd","FUTURE FOCUSED LTD","07408112"
"471","Headstart Care LLP","Headstart Care LLP","HEADSTART CARE LLP",NA
"472","Keir Lock Children's Homes Ltd","Keir Lock childrens Homes Ltd","KEIR LOCK CHILDRENS HOMES LTD","08583275"
"473","Interactive Development Support Limited","Interactive Development Support Limited","INTERACTIVE DEVELOPMENT SUPPORT LIMITED","04462419"
"474","Fonjocks Social Work Practice Limited","Fonjocks Social Work Practice Limited","FONJOCK'S SOCIAL WORK PRACTICE LIMITED","07238591"
"475","Inspire Care (uk) Limited","Inspire Care (uk) Limited","INSPIRE CARE (UK) LIMITED","07125228"
"476","Netheredge Care Limited","Netheredge Care Limited","NETHEREDGE CARE LIMITED","09039272"
"477","EnhanceAble","EnhanceAble","ENHANCEABLE","03140903"
"478","Bayis Sheli Limited","Bayis Sheli Limited","BAYIS SHELI LTD","05576871"
"479","Newrays Care Services Ltd","Newrays Care Services Ltd","NEWRAYS CARE SERVICES LIMITED","09289384"
"480","Aspire Care And Education Services","Aspire Care And Education Services","ASPIRE CARE AND EDUCATION SERVICES LIMITED","09910351"
"481","Evergreen Children's Home Ltd","Evergreen childrens Home Ltd","EVERGREEN CHILDRENS HOME LTD","10000492"
"482","Altum Residential Care Ltd","Altum Residential Care Ltd","ALTUM RESIDENTIAL CARE LTD","08232494"
"483","Chaigeley Educational Foundation","Chaigeley Educational Foundation","CHAIGELEY EDUCATIONAL FOUNDATION","03301881"
"484","Caldecott Foundation Limited","Caldecott Foundation Limited","THE CALDECOTT FOUNDATION LIMITED","00419256"
"485","Holly Lodge Home Limited","Holly Lodge Home Limited","HOLLY LODGE HOME LTD","10148844"
"486","Sankofa Care Ltd","Sankofa Care Ltd","SANKOFA CARE LIMITED","06279129"
"487","No. 57 Ltd","No. 57 Ltd","NAMECO (NO.57) LIMITED","03431176"
"488","Stepping Stone Children's Homes Ltd","Stepping Stone childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED","09977747"
"489","My3 Ltd","My3 Ltd","MY3 LTD","08450106"
"490","Haven Care Group Limited","Haven Care Group Limited","HAVEN CARE GROUP LIMITED","10015371"
"491","Watermead Care Ltd","Watermead Care Ltd","WATERMEAD CARE LTD","10010534"
"492","Partnerships In Care 1 Limited","Partnerships In Care 1 Limited","PARTNERSHIPS IN CARE 1 LIMITED","01833385"
"493","West Cumbria Care And Support","West Cumbria Care And Support","WEST CUMBRIA CARE AND SUPPORT","IP28282R"
"494","Good News Nwk Ltd","Good News Nwk Ltd","GOOD NEWS NWK LTD","09891065"
"495","Resilience North East Limited","Resilience North East Limited","RESILIENCE NORTH EAST LIMITED","10236010"
"496","Little Belsteads Care Home Limited","Little Belsteads Care Home Limited","LITTLE BELSTEADS CARE HOME LIMITED","10192211"
"497","Headway Adolescent Resources Ltd","Headway Adolescent Resources Ltd","HEADWAY ADOLESCENT RESOURCES LIMITED","03875003"
"498","Achieving Aspirations Community Interest Company","Achieving Aspirations Community Interest Company","ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY","09390925"
"499","Tjunction Children's Services Limited","T-junction childrens Services Ltd","T-JUNCTION CHILDRENS SERVICES LTD","10438075"
"500","Paddock House Limited","Paddock House Limited","PADDOCK HOUSE LIMITED","03715303"
"501","The Norman Laud Association","The Norman Laud Association","THE NORMAN LAUD ASSOCIATION","05060618"
"502","The Spring Children's And Transitional Care Ltd","The Spring childrens And Transitional Care Ltd","THE SPRING CHILDREN'S AND TRANSITIONAL CARE LTD","14075765"
"503","Oaktree Childcare Ltd","Oaktree Childcare Ltd","OAKTREE CHILDCARE LIMITED","10445560"
"504","Advising Health And Social-Care Limited","Advising Health And Social-Care Limited","ADVISING HEALTH AND SOCIAL-CARE LIMITED","09754724"
"505","Homes2inspire Limited","Homes 2 inspire Limited","HOMES 2 INSPIRE LIMITED","10592680"
"506","Smartcare Services Ltd","Smartcare Services Ltd","SMARTCARE SERVICES LIMITED","05120182"
"507","Together For Children Sunderland Limited","Together For Children Sunderland Limited","TOGETHER FOR CHILDREN SUNDERLAND LIMITED","10085290"
"508","Exitus Childrens Care Ltd","Exitus Childrens Care Ltd","EXITUS CHILDRENS CARE LTD","10508242"
"509","The Good Support Group Ltd","The Good Support Group Ltd","THE GOOD SUPPORT GROUP LIMITED","10424036"
"510","Cameron And Cooper Limited","Cameron And Cooper Limited","CAMERON & COOPER LIMITED","10624313"
"511","Curam Domi Solutions Ltd","Curam Domi Solutions Ltd","CURAM DOMI SOLUTIONS LTD","10252549"
"512","Ravensbourne Project","Ravensbourne Project","RAVENSBOURNE PROJECT","03181695"
"513","Orchard Children Homes Limited","Orchard Children Homes Limited","ORCHARD CHILDREN HOMES LTD","10099213"
"514"," swan Cottage Limited","swan Cottage Limited","SWAN COTTAGE LIMITED","08522511"
"515","Happy Children Home Limited","Happy Children Home Limited","HAPPY CHILDREN HOME LIMITED","10658095"
"516","Outbound Care Ltd","Outbound Care Ltd","OUTBOUND CARE LIMITED","10585218"
"517","Aurora Asd Ltd","Aurora Asd Ltd","AURORA ASD LIMITED","10198361"
"518","Apex Children's Services Limited","Apex childrens Services Limited","APEX CHILDRENS SERVICES LTD","10344525"
"519","Autonomy Plus Limited","Autonomy Plus Limited","AUTONOMY PLUS LIMITED","10791578"
"520","Care 2 Share Limited","Care 2 Share Limited","CARE 2 SHARE LIMITED","04431139"
"521","Stonelake London Limited","Stone lake London Limited","STONE LAKE LONDON LIMITED","10313918"
