"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"780","Private","SC407169",4,"STOCKPORT","Choices Home for Children Limited","Choices Home for Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"781","Private","SC436559",5,"STOCKPORT","Choices Home for Children Limited","Choices Home for Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"782","Private","SC479647",6,"WIGAN","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED","2014-10-08",NA,"08885676"
"783","Private","SC479650",6,"ROCHDALE","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED","2014-10-08",NA,"08885676"
"784","Private","SC479654",6,"ROCHDALE","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED","2014-09-05",NA,"08885676"
"785","Private","SC480161",6,"TAMESIDE","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED","2014-09-10",NA,"08885676"
"786","Private","SC386837",2,"STOCKPORT","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"787","Private","2628010",1,"WIGAN","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2021-04-27",NA,"04280519"
"788","Private","2657298",3,"MANCHESTER","Resilience Residential Services Ltd ","Resilience Residential Services Ltd","RESILIENCE RESIDENTIAL SERVICES LTD","2021-11-15",NA,"12708214"
"789","Private","2676372",2,"MANCHESTER","Resilience Residential Services Ltd ","Resilience Residential Services Ltd","RESILIENCE RESIDENTIAL SERVICES LTD","2022-04-19",NA,"12708214"
"790","Private","2678673",3,"MANCHESTER","Parkwood Care","Parkwood Care","PARKWOOD CARE LIMITED","2022-05-25",NA,"12549974"
"791","Private","2669033",2,"WIGAN","Proactive Care (manchester) ltd","Proactive Care (manchester) ltd","PROACTIVE CARE (MANCHESTER) LTD","2022-04-08",NA,"08759855"
"792","Private","SC008600",6,"STOCKPORT","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"793","Private","2519592",4,"TAMESIDE","Your Chapter LTD","Your Chapter LTD","YOUR CHAPTER LIMITED","2019-04-08",NA,"09097182"
"794","Private","2591888",4,"TAMESIDE","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","2020-06-16",NA,"03431532"
"795","Private","2612810",3,"TAMESIDE","Pure Care Homes Ltd","Pure Care Homes Ltd","PURE CARE HOMES LTD","2021-01-19",NA,"11667392"
"796","Private","2685250",3,"BURY","Pure Care Homes Ltd","Pure Care Homes Ltd","PURE CARE HOMES LTD","2022-07-27",NA,"11667392"
"797","Private","2672559",2,"MANCHESTER","Care Today (Children's Services) Ltd","Care Today (childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2022-04-21",NA,"03576741"
"798","Private","SC472680",5,"MANCHESTER","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"799","Private","SC005553",4,"OLDHAM","Dalepeak Limited","Dalepeak Limited","DALEPEAK LIMITED",NA,NA,"03612944"
"800","Private","SC436559",5,"STOCKPORT","Choices Home for Children","Choices Home for Children","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"801","Private","2680502",2,"BOLTON","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2022-05-21",NA,"04460745"
"802","Private","1261138",5,"BURY","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","2017-08-29",NA,"03431532"
"803","Private","2625182",2,"MANCHESTER","Care Today (Children's Services) Ltd","Care Today (childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2021-03-03",NA,"03576741"
"804","Local Authority","1271135",2,"STOCKPORT","Stockport Metropolitan Borough Council","Stockport Metropolitan Borough Council",NA,"2018-02-15",NA,NA
"805","Private","2680860",3,"BURY","Invigor Adolescent Care Limited","Invigor Adolescent Care Limited","INVIGOR ADOLESCENT CARE LIMITED","2022-09-16",NA,"11666234"
"806","Private","2674455",1,"STOCKPORT","Choices Home for Children","Choices Home for Children","CHOICES HOME FOR CHILDREN LIMITED","2022-01-27",NA,"04211653"
"807","Private","SC407169",4,"STOCKPORT","Choices Home for Children","Choices Home for Children","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"808","Private","SC008485",5,"STOCKPORT","Choices Home for Children","Choices Home for Children","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"809","Private","2615395",2,"MANCHESTER","Care Today (Children's Services) Ltd","Care Today (childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2020-11-26",NA,"03576741"
"810","Private","2621119",1,"WIGAN","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2021-04-23",NA,"04280519"
"811","Private","2511606",1,"WIGAN",NA,NA,NA,"2019-04-24","2020-03-11",NA
"812","Private","2511608",1,"WIGAN",NA,NA,NA,"2019-04-24","2020-03-11",NA
"813","Private","2511609",1,"BOLTON",NA,NA,NA,"2019-10-17","2020-03-11",NA
"814","Private","2534233",1,"BOLTON",NA,NA,NA,"2019-06-27","2020-03-15",NA
"815","Private","2571844",3,"MANCHESTER",NA,NA,NA,"2020-05-21","2020-08-12",NA
"816","Private","2597754",3,"BOLTON",NA,NA,NA,"2020-08-10","2021-02-19",NA
"817","Private","2624578",2,"BOLTON",NA,NA,NA,"2021-08-03","2022-01-25",NA
"818","Private","2669905",3,"MANCHESTER",NA,NA,NA,"2022-05-23",NA,NA
"819","Private","2693530",2,"WIGAN",NA,NA,NA,"2022-08-22",NA,NA
"820","Private","2697331",3,"TRAFFORD",NA,NA,NA,"2022-11-09",NA,NA
"821","Private","2709434",2,"BURY",NA,NA,NA,"2022-11-03",NA,NA
"822","Private","2710431",5,"TAMESIDE",NA,NA,NA,"2023-02-21",NA,NA
"823","Private","2710459",2,"WIGAN",NA,NA,NA,"2023-01-24",NA,NA
"824","Private","2710735",4,"STOCKPORT",NA,NA,NA,"2022-11-23",NA,NA
"825","Private","2711581",1,"OLDHAM",NA,NA,NA,"2023-01-27",NA,NA
"826","Private","2711793",2,"BOLTON",NA,NA,NA,"2023-03-09",NA,NA
"827","Private","2713287",1,"ROCHDALE",NA,NA,NA,"2023-01-27",NA,NA
"828","Private","2717183",3,"MANCHESTER",NA,NA,NA,"2023-02-08",NA,NA
"829","Private","2719474",3,"MANCHESTER",NA,NA,NA,"2023-02-24",NA,NA
