"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"385","Private","SC008484",6,"STOCKPORT","","",NA,NA,NA,NA
"386","Private","SC008485",6,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"387","Private","SC008486",6,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"388","Private","SC008487",6,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"389","Private","SC008488",8,"STOCKPORT","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"390","Private","SC008490",4,"STOCKPORT","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD",NA,NA,"15399498"
"391","Voluntary","SC008575",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"392","Private","SC008600",6,"STOCKPORT","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"393","Private","SC008607",2,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"394","Private","SC008608",2,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"395","Private","SC021677",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"396","Private","SC021679",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"397","Private","SC021683",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"398","Private","SC021684",6,"MANCHESTER","Social Care Services Limited","Social Care Services Limited","SOCIAL CARE SERVICES LIMITED",NA,NA,"02428089"
"399","Voluntary","SC025712",2,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"400","Voluntary","SC025713",2,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"401","Voluntary","SC025714",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"402","Voluntary","SC025715",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"403","Voluntary","SC025739",4,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"404","Voluntary","SC025740",6,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"405","Voluntary","SC025744",6,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"406","Voluntary","SC025745",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"407","Voluntary","SC025747",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"408","Local Authority","SC032475",5,"TRAFFORD","Trafford Borough Council","Trafford Borough Council",NA,NA,NA,NA
"409","Local Authority","SC032496",6,"TRAFFORD","Trafford Borough Council","Trafford Borough Council",NA,NA,NA,NA
"410","Local Authority","SC034012",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"411","Local Authority","SC034108",6,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"412","Local Authority","SC034851",5,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,NA,NA,NA
"413","Local Authority","SC034922",4,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,NA,NA,NA
"414","Local Authority","SC035339",7,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"415","Local Authority","SC035492",4,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
