"","URN","chain_size"
"855","SC374268",131
"856","SC377825",127
"857","SC378181",4
"858","SC378187",4
"859","SC379274",21
"860","SC380956",10
"861","SC381089",15
"862","SC381339",10
"863","SC381522",1
"864","SC383941",3
"865","SC385809",2
"866","SC386134",58
"867","SC386430",5
"868","SC389174",131
"869","SC389178",131
"870","SC389183",131
"871","SC390156",4
"872","SC390167",4
"873","SC390576",34
"874","SC391708",2
"875","SC397293",8
"876","SC398482",16
"877","SC399866",2
"878","SC402385",127
"879","SC402426",127
"880","SC405977",23
"881","SC406505",12
"882","SC407753",38
"883","SC407787",127
"884","SC407929",2
"885","SC411616",8
"886","SC412175",225
"887","SC412687",10
"888","SC412971",127
"889","SC416464",22
"890","SC418605",6
"891","SC419334",127
"892","SC420876",4
"893","SC422231",7
"894","SC423460",3
"895","SC424851",225
"896","SC425985",1
"897","SC426172",19
"898","SC427652",3
"899","SC430320",2
"900","SC431803",6
"901","SC431804",6
"902","SC431806",6
"903","SC433286",131
"904","SC434520",4
"905","SC436469",16
"906","SC438427",1
"907","SC440309",22
"908","SC441553",10
"909","SC444681",8
"910","SC446957",5
"911","SC448693",1
"912","SC449155",2
"913","SC454647",225
"914","SC455991",225
"915","SC456149",5
"916","SC456157",5
"917","SC456347",225
"918","SC456419",225
"919","SC456537",5
"920","SC456850",225
"921","SC456959",225
"922","SC457025",225
"923","SC457183",225
"924","SC457488",225
"925","SC457780",1
"926","SC457923",225
"927","SC460761",6
"928","SC460973",23
"929","SC463188",4
"930","SC463431",12
"931","SC464809",225
"932","SC465287",1
"933","SC467155",127
"934","SC469396",10
"935","SC470928",8
"936","SC472102",127
"937","SC472381",7
"938","SC472392",7
"939","SC473631",127
"940","SC476236",225
"941","SC476271",225
"942","SC476486",127
"943","SC477040",5
"944","SC478001",1
"945","SC479650",53
"946","SC480240",53
"947","SC480318",131
"948","SC480705",4
"949","SC480847",53
"950","SC481015",5
"951","SC481235",1
"952","SC481295",2
"953","SC481305",21
"954","SC481369",2
"955","SC481439",7
"956","SC481447",7
"957","SC482303",13
"958","SC482548",4
"959","SC483533",9
"960","SC483688",225
"961","SC484114",58
"962","SC484133",38
"963","SC484242",225
"964","SC484789",9
"965","SC485318",13
"966","SC485427",6
"967","SC485529",4
"968","SC487165",2
"969","SC487549",21
"970","SC488679",12
"971","SC488943",14
"972","2611447",4
"973","2611536",3
"974","2612008",41
"975","2612735",18
"976","SC428895",225
"977","2613341",2
"978","2613661",3
"979","2615326",1
"980","2616605",41
"981","2616704",2
"982","2678551",34
"983","2679026",4
"984","SC386258",1
"985","SC386837",5
"986","SC387784",15
"987","2561020",16
"988","2562430",6
"989","2562677",1
"990","2646248",2
"991","2647445",58
"992","2652096",3
"993","2652383",10
"994","2652535",2
"995","2652546",4
"996","2656736",58
"997","2658895",5
"998","2660064",41
"999","2660470",1
"1000","2661346",3
"1001","2661513",2
"1002","2662265",8
"1003","2663221",3
"1004","2663883",4
"1005","2503598",4
"1006","2505378",58
"1007","2612063",1
"1008","SC457254",38
"1009","SC457423",2
"1010","SC460063",225
"1011","SC461846",10
"1012","1269421",127
"1013","1270002",1
"1014","1270767",1
"1015","SC443959",127
"1016","SC414738",11
"1017","SC403905",2
"1018","SC035969",3
"1019","2650952",1
"1020","2651807",2
"1021","2653207",3
"1022","2656194",5
"1023","2656689",1
"1024","2664826",6
"1025","SC035339",4
"1026","SC035492",4
"1027","SC061232",10
"1028","SC431192",2
"1029","SC432404",9
"1030","SC434223",131
"1031","SC434806",225
"1032","SC442401",225
"1033","SC442886",7
"1034","SC473877",4
"1035","SC475697",36
"1036","SC477031",225
"1037","SC482301",13
"1038","SC483692",225
"1039","1275228",34
"1040","1276010",131
"1041","1277497",7
"1042","2631698",1
"1043","2632917",8
"1044","SC415347",16
"1045","SC416599",38
"1046","SC419217",4
"1047","SC421063",131
"1048","SC471672",2
"1049","SC473404",2
"1050","2585407",3
"1051","2585926",36
"1052","2592750",12
"1053","2594007",225
"1054","2594985",10
"1055","SC044224",127
"1056","SC044259",3
"1057","2595983",131
"1058","2598462",9
"1059","2599399",225
"1060","2599659",5
"1061","2602558",4
"1062","2602585",8
"1063","2633107",1
"1064","2633127",10
"1065","SC457175",225
"1066","SC410539",6
"1067","SC411074",8
"1068","SC412476",131
"1069","SC412979",127
"1070","SC413779",2
"1071","SC414296",8
"1072","SC475680",36
"1073","SC476083",21
"1074","SC476251",225
"1075","SC476512",2
"1076","SC477205",2
"1077","SC477726",10
"1078","SC458027",225
"1079","SC461865",6
"1080","SC461938",10
"1081","SC462729",7
"1082","SC462951",1
"1083","SC463852",60
"1084","SC467115",5
"1085","2586752",10
"1086","2586949",60
"1087","SC488439",131
"1088","SC025409",34
"1089","SC025420",6
"1090","SC029504",38
"1091","SC029865",10
"1092","SC032701",3
"1093","SC033127",10
"1094","SC033174",17
"1095","1227788",4
"1096","SC470645",7
"1097","SC470797",9
"1098","SC471058",225
"1099","SC472164",3
"1100","SC472374",7
"1101","SC472449",2
"1102","2537801",6
"1103","2630728",1
"1104","2633744",3
"1105","2673408",2
"1106","2674176",3
"1107","2675297",1
"1108","2677057",23
"1109","2678404",1
"1110","2679463",3
"1111","2680559",1
"1112","2682113",1
"1113","2682298",5
"1114","1269072",4
"1115","1269505",11
"1116","SC395944",1
"1117","SC402135",8
"1118","SC403234",8
"1119","SC470224",6
"1120","SC457074",225
"1121","SC009651",131
"1122","SC047978",16
"1123","SC051513",17
"1124","SC042652",6
"1125","SC423407",131
"1126","SC025739",12
"1127","SC026991",131
"1128","SC069618",10
"1129","SC357455",1
"1130","SC359846",225
"1131","SC473699",5
"1132","SC474041",131
"1133","SC474894",13
"1134","SC475748",36
"1135","SC014235",4
"1136","SC020151",2
"1137","SC021677",34
"1138","2623790",1
"1139","2624784",1
"1140","2628010",225
"1141","2630680",2
"1142","SC408714",2
"1143","SC411030",22
"1144","2497049",3
"1145","2503710",3
"1146","2504093",225
"1147","2506856",6
"1148","2507631",131
"1149","2508451",17
"1150","2645098",3
"1151","2645163",2
"1152","SC441513",17
"1153","SC444869",1
"1154","SC449954",8
"1155","SC000673",19
"1156","2657298",2
"1157","2659259",1
"1158","2660433",1
"1159","2660783",1
"1160","SC456863",225
"1161","SC456910",225
"1162","SC456942",225
"1163","SC457012",225
"1164","2547761",3
"1165","2548333",9
"1166","2550015",127
"1167","2556128",2
"1168","2557914",6
"1169","2559317",3
"1170","2566488",3
"1171","2652468",38
"1172","2652918",4
"1173","SC425786",1
"1174","SC428956",9
"1175","SC429011",131
"1176","SC429748",131
"1177","SC421197",2
"1178","SC378153",6
"1179","SC379199",7
"1180","SC046276",6
"1181","SC047483",3
"1182","2692918",4
"1183","2696711",3
"1184","2700591",1
"1185","2633026",1
"1186","2634272",1
"1187","2634633",1
"1188","1212704",53
"1189","2688405",1
"1190","SC024089",58
"1191","2507350",1
"1192","2507724",6
"1193","2509684",10
"1194","2509802",6
"1195","2511289",225
"1196","2513341",131
"1197","2516553",6
"1198","2517429",3
"1199","1234243",60
"1200","2526992",127
"1201","2532661",8
"1202","2534102",2
"1203","2534696",34
"1204","2534829",14
"1205","2539587",41
"1206","2519919",1
"1207","2525774",3
"1208","2528141",7
"1209","2534179",8
"1210","2535887",2
"1211","2536395",13
"1212","SC057703",38
"1213","2631690",4
"1214","2634911",1
"1215","1235818",225
"1216","1236026",225
"1217","1236625",3
"1218","1236773",225
"1219","1240433",58
"1220","1240449",6
"1221","1240883",24
"1222","1234317",24
"1223","2654423",2
"1224","SC385631",7
"1225","SC385633",1
"1226","1271666",13
"1227","1271998",24
"1228","1272220",1
"1229","2586969",4
"1230","2588599",8
"1231","2589579",3
"1232","2674792",7
"1233","2675155",2
"1234","2676352",3
"1235","2676372",2
"1236","2678673",1
"1237","2679041",2
"1238","2679574",2
"1239","2625941",2
"1240","2626053",7
"1241","2627009",1
"1242","2627028",8
"1243","2629073",9
"1244","2664861",2
"1245","2669033",5
"1246","2671486",4
"1247","2674591",1
"1248","2675485",4
"1249","SC040723",6
"1250","SC042446",1
"1251","1269215",53
"1252","SC052398",1
"1253","1231067",8
"1254","SC454838",34
"1255","SC454901",131
"1256","SC456416",225
"1257","SC456719",225
"1258","SC456729",225
"1259","SC458028",225
"1260","2557361",4
"1261","2558682",6
"1262","2561970",14
"1263","2563216",10
"1264","2563530",2
"1265","SC066428",225
"1266","SC403850",7
"1267","SC403895",15
"1268","SC414347",6
"1269","SC414516",16
"1270","SC051856",6
"1271","SC052946",2
"1272","2594366",225
