Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Private,SC412687,3,SALFORD,Social Care Services Ltd,Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.,NA,NA,10413929
Private,SC416464,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC420388,4,BURY,Keys ACE Limited,Keys ACE Limited,KEYS ACE LIMITED,NA,NA,05556312
Private,SC442864,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Voluntary,SC467796,3,BOLTON,Birtenshaw ,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Voluntary,SC470797,4,BOLTON,Birtenshaw ,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,SC477724,3,WIGAN,Crystal Care Solutions Limited,Crystal Care Solutions Limited,CRYSTAL CARE SOLUTIONS LIMITED,2014-07-17,NA,05952454
Private,SC477726,2,WIGAN,Crystal Care Solutions Limited,Crystal Care Solutions Limited,CRYSTAL CARE SOLUTIONS LIMITED,2014-07-18,NA,05952454
Private,SC477939,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,2014-06-03,NA,05087886
Private,SC482410,3,WIGAN,Inspire Childrens Services,Inspire Childrens Services,INSPIRE CHILDRENS SERVICES LIMITED,2014-11-12,NA,06968122
Voluntary,SC483533,3,BOLTON,Birtenshaw ,Birtenshaw,BIRTENSHAW,2015-01-27,NA,02978546
Private,SC008488,8,STOCKPORT,Halliwell Homes,Halliwell Homes,HALLIWELL HOMES LIMITED,NA,NA,03681826
Private,2598004,3,OLDHAM,Strive To Care LTD,Strive To Care LTD,STRIVE TO CARE LTD,2020-10-05,NA,12377099
Private,2591888,4,TAMESIDE,New Horizons-(stockport) Ltd,New Horizons-(stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,2020-06-16,NA,03431532
Private,2593915,3,SALFORD,Stepping Stones Childrens Homes Limited,Stepping Stones Childrens Homes Limited,STEPPING STONES CHILDRENS HOMES LIMITED,2020-09-14,NA,09977747
Private,2594033,3,BURY,Inspire Childrens Services,Inspire Childrens Services,INSPIRE CHILDRENS SERVICES LIMITED,2020-06-19,NA,06968122
Local Authority,SC034012,5,TAMESIDE,Tameside Metropolitan Borough Council ,Tameside Metropolitan Borough Council,NA,NA,NA,NA
Private,SC069198,3,BURY,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,1280412,4,WIGAN,Apex Childrens Services Ltd,Apex Childrens Services Ltd,APEX CHILDRENS SERVICES LTD,2018-06-25,NA,10344525
Private,1264537,5,WIGAN,ROC Northwest,ROC Northwest,ROC NORTHWEST LIMITED,2017-11-29,NA,05564417
Private,SC472680,5,MANCHESTER,New Horizons-(stockport) Ltd,New Horizons-(stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,NA,NA,03431532
Private,2575432,2,WIGAN,All Round Care Ltd,All Round Care Ltd,ALL ROUND CARE LTD,2020-05-01,NA,10639802
Private,2582250,2,ROCHDALE,Sandcastle Care Ltd,Sandcastle Care Ltd,SANDCASTLE CARE LTD,2020-03-04,NA,04922373
Private,2582337,4,BURY,Sandcastle Care Ltd,Sandcastle Care Ltd,SANDCASTLE CARE LTD,2020-03-04,NA,04922373
Voluntary,SC035518,24,STOCKPORT,Seashell Trust,Seashell Trust,SEASHELL TRUST,NA,NA,04216714
Voluntary,SC397344,4,BOLTON,Birtenshaw,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,2484682,3,BURY,Next Stage 4Life LTD,Next Stage 4 Life LTD,NEXT STAGE 4 LIFE LTD,2018-08-06,NA,08256389
Private,2553543,3,WIGAN,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2020-04-21,NA,04460745
Private,2591916,1,WIGAN,Future Focused Ltd,Future Focused Ltd,FUTURE FOCUSED LTD,2020-07-20,NA,07408112
Private,1270297,3,BURY,Next Stage 4Life LTD,Next Stage 4 Life LTD,NEXT STAGE 4 LIFE LTD,2017-11-24,NA,08256389
Private,2612810,3,TAMESIDE,Pure Care Homes ltd,Pure Care Homes ltd,PURE CARE HOMES LTD,2021-01-19,NA,11667392
Private,2553536,4,WIGAN,Apex Childrens Services Ltd,Apex Childrens Services Ltd,APEX CHILDRENS SERVICES LTD,2019-11-22,NA,10344525
Voluntary,SC470797,4,BOLTON,Birtenshaw,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,2590699,4,SALFORD,Care 4 Every Child Limited,Care 4 Every Child Limited,CARE 4 EVERY CHILD LIMITED,2020-06-10,NA,11769512
Private,SC065072,2,ROCHDALE,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,2620950,2,BOLTON,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2021-03-22,NA,04280519
Local Authority,1271135,7,STOCKPORT,Stockport Metropolitan Borough Council,Stockport Metropolitan Borough Council,NA,2018-02-15,NA,NA
Private,SC043697,7,TAMESIDE,Halliwell Homes,Halliwell Homes,HALLIWELL HOMES LIMITED,NA,NA,03681826
Private,1280370,2,OLDHAM,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,2018-07-16,NA,05033530
Private,2557152,3,TAMESIDE,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,2019-11-19,NA,03576741
